"","id","type","source","year","simpname","lastname","firstname","middlename","nationality","edu","prof","org","loc","lon","lat","text"
"107","fr2572","alumni","frei",1868,"sachse, f  p","sachse","friedrich paul max","paul","germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Sachse, Friedrich Paul Max. Freiberg, Sachsen."
"108","fr2573","alumni","frei",1868,"schneider, f  r","schneider","friedrich robert","robert","germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Schneider, Friedrich Robert. Conradsdorf, Sachs."
"109","fr2574","alumni","frei",1868,"stallknecht, f","stallknecht","friedrich",NA,"united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Stallknecht, Friedrich. New York, V. St. v. A."
"110","fr2575","alumni","frei",1868,"stiebitz, g","stiebitz","gustav",NA,"austria","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Stiebitz, Gustav. Wien, Osterreich."
"111","fr2576","alumni","frei",1868,"sweeny, l  l","sweeny","louis le baume","le","united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Sweeny, Louis Le Baume. Peoria, Illinois."
"112","fr2577","alumni","frei",1868,"uznanski, a  r","uznanski","adam ritter","ritter","poland","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Uznanski, Adam Ritter. Szaflary, Galizien."
"113","fr2578","alumni","frei",1868,"watson, a  m","watson","alexander maitland","maitland","united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Watson, Alexander Maitland. New York, V. St. v. A."
"114","fr2579","alumni","frei",1868,"zimmermann, j","zimmermann","jacob",NA,"switzerland","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Zimmermann, Jacob. Botzberg, Schweiz."
"115","fr2580","alumni","frei",1869,"andree, t","andree","theodor",NA,"czech republic","engineer",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Andree, Theodor. Wittkowitz, Mahren. Dipl.Ing."
"116","fr2581","alumni","frei",1869,"benedicks, g","benedicks","gustav",NA,"sweden","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Benedicks, Gustav. Stockholm, Schweden."
"117","fr2582","alumni","frei",1869,"bliimich, w  r","bliimich","wilhelm richard","richard","germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Bliimich, Wilhelm Richard. Governitz b. GroBenhain, Sachsen."
